district,soil_type,season,rainfall,price_2021,price_2022,price_2023,crop
Bangalore,Sandy,Rabi,810,1924,1436,1445,Rice
Bangalore,Loamy,Rabi,721,1941,1533,1405,Wheat
Bangalore,Loamy,Rabi,294,1806,1611,1823,Maize
Bangalore,Clayey,Kharif,282,1187,1349,1178,Barley
Bangalore,Loamy,Kharif,673,1406,1484,1750,Sugarcane
Bangalore,Sandy,Kharif,953,1779,1983,1963,Pulses
Bangalore,Loamy,Kharif,631,1731,1297,1356,Cotton
Bangalore,Clayey,Kharif,413,1012,1671,1136,Sorghum
Bangalore,Sandy,Zaid,722,1333,1591,1967,Groundnut
Bangalore,Sandy,Rabi,596,1532,1947,1902,Millet
Bangalore,Loamy,Zaid,202,1568,1808,1043,Banana
Bangalore,Loamy,Zaid,678,1982,1057,1531,Potato
Bangalore,Clayey,Zaid,807,1429,1879,1205,Tomato
Bangalore,Loamy,Kharif,542,1635,1728,1847,Onion
Bangalore,Clayey,Kharif,552,1275,1271,1676,Soybean
Bangalore,Sandy,Zaid,240,1435,1987,1409,Sunflower
Bangalore,Sandy,Zaid,1080,1082,1828,1865,Peanut
Bangalore,Sandy,Rabi,1038,1977,1625,1974,Lentil
Bangalore,Clayey,Zaid,333,1999,1953,1262,Mustard
Bangalore,Sandy,Rabi,1107,1600,1072,1092,Chickpea
Mysore,Clayey,Zaid,984,1537,1633,1912,Rice
Mysore,Loamy,Rabi,1187,1219,1329,1030,Wheat
Mysore,Clayey,Kharif,840,1240,1056,1109,Maize
Mysore,Sandy,Zaid,1020,1955,1618,1184,Barley
Mysore,Loamy,Rabi,449,1359,1460,1575,Sugarcane
Mysore,Sandy,Rabi,769,1086,1783,1179,Pulses
Mysore,Sandy,Kharif,565,1838,1968,1854,Cotton
Mysore,Loamy,Kharif,855,1458,1165,1740,Sorghum
Mysore,Clayey,Kharif,620,1851,1280,1238,Groundnut
Mysore,Sandy,Kharif,216,1568,1571,1282,Millet
Mysore,Sandy,Zaid,245,1138,1293,1804,Banana
Mysore,Sandy,Zaid,446,1799,1595,1901,Potato
Mysore,Clayey,Kharif,460,1609,1495,1720,Tomato
Mysore,Clayey,Kharif,1082,1044,1414,1633,Onion
Mysore,Clayey,Zaid,743,1995,1011,1416,Soybean
Mysore,Clayey,Zaid,369,1078,1187,1225,Sunflower
Mysore,Sandy,Kharif,843,1002,1698,1424,Peanut
Mysore,Clayey,Zaid,982,1686,1305,1506,Lentil
Mysore,Loamy,Zaid,615,1694,1872,1492,Mustard
Mysore,Clayey,Rabi,331,1936,1066,1736,Chickpea
Mangalore,Clayey,Zaid,892,1786,1517,1882,Rice
Mangalore,Clayey,Kharif,812,1104,1118,1866,Wheat
Mangalore,Clayey,Kharif,860,1021,1214,1750,Maize
Mangalore,Sandy,Rabi,740,1770,1018,1087,Barley
Mangalore,Loamy,Rabi,389,1649,1717,1083,Sugarcane
Mangalore,Loamy,Kharif,871,1625,1968,1260,Pulses
Mangalore,Sandy,Rabi,207,1371,1369,1977,Cotton
Mangalore,Clayey,Kharif,591,1767,1708,1808,Sorghum
